symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
ANUP,The Anup Engineering Limited,REENA P. BHAGWATI,Director,18.0,25524,Buy,30-May-2023,Market Purchase,BSE
ANUP,The Anup Engineering Limited,BHAGWATI SPHEROCAST PRIVATE LIMITED,Other,120.0,170455,Buy,30-May-2023,Market Purchase,BSE
ANUP,The Anup Engineering Limited,AANAL P. BHAGWATI,Immediate relative,304.0,432698,Buy,30-May-2023,Market Purchase,BSE
ANUP,The Anup Engineering Limited,PRAVIN N. BHAGWATI,Immediate relative,520.0,738816,Buy,30-May-2023,Market Purchase,NSE
ANUP,The Anup Engineering Limited,REENA P. BHAGWATI,Director,482.0,684561,Buy,30-May-2023,Market Purchase,NSE
SOMATEX,Soma Textiles & Industries Limited,Sarvopari Investments Private Limited,Promoter Group,112415.0,2301859,Buy,29-May-2023,Market Purchase,
PRAKASHSTL,Prakash Steelage Limited,PRAKASH CHHAGANLAL KANUGO,Promoters,5500.0,24175,Buy,31-May-2023,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,Navin Jain,Promoter Group,2980.0,1357421,Buy,15-May-2023,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,Ashok Kumar Parakh,Promoter Group,2730.0,1251382,Buy,30-May-2023,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,Nirmala Realinfrastructure Pvt Ltd,Promoter Group,21655.0,10115362,Buy,29-May-2023,Market Purchase,NSE
LGHL,Laxmi Goldorna House Limited,BADAL JAYESHKUMAR SHAH,Promoter Group,128000.0,3597581,Buy,31-May-2023,Market Purchase,NSE
LGHL,Laxmi Goldorna House Limited,JINIT JAYESHKUMAR SHAH,Promoter Group,144000.0,4047278,Buy,31-May-2023,Market Purchase,NSE
CSLFINANCE,CSL Finance Limited,CSL Employee Welfare Trust,Promoter Group,2000.0,409960,Buy,30-May-2023,Market Purchase,NSE
CSLFINANCE,CSL Finance Limited,Rohit Gupta HUF,Promoter Group,500.0,104950,Buy,29-May-2023,Market Purchase,NSE
CSLFINANCE,CSL Finance Limited,Rohit Gupta HUF,Promoter Group,500.0,104095,Buy,26-May-2023,Market Purchase,NSE
ASIANENE,Asian Energy Services Limited,Oilmax Energy Private Limited,Promoters,45000.0,4588200,Buy,31-May-2023,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2128.0,3474834,Buy,30-May-2023,Market Purchase,NSE
